user_id,currency,balance_in_file,balance_in_system,active,account_zeroed
792160,GBP,149,149,0,yes
616810,GBP,147,147,0,yes
768870,GBP,146,146,0,yes
598310,GBP,145,145,0,yes
880850,GBP,144,144,0,yes
806400,GBP,141,141,0,yes
765520,GBP,140,140,0,yes
795920,GBP,137,137,0,yes
863260,GBP,135,135,0,yes
702080,GBP,133,133,0,yes
854620,GBP,130,130,0,yes
766920,GBP,128,128,0,yes
871040,GBP,128,128,0,yes
623760,GBP,127,127,0,yes
755900,GBP,127,127,0,yes
884420,GBP,126,126,0,yes
881950,GBP,125,125,0,yes
620120,GBP,123,123,0,yes
857700,GBP,123,123,0,yes
743190,GBP,121,121,0,yes
699170,GBP,120,120,0,yes
777350,GBP,118,118,0,yes
801680,GBP,118,118,0,yes
861760,GBP,117,117,0,yes
874850,GBP,116,116,0,yes
863030,GBP,114,114,0,yes
883580,GBP,113,113,0,yes
877060,GBP,111,111,0,yes
866000,GBP,109,109,0,yes
873060,GBP,109,109,0,yes
430340,GBP,107,107,0,yes
883850,GBP,107,107,0,yes
875530,GBP,106,106,0,yes
791190,GBP,105,105,0,yes
722200,GBP,104,104,0,yes
862780,GBP,103,103,0,yes
863980,GBP,103,103,0,yes
872260,GBP,103,103,0,yes
861960,GBP,101,101,0,yes
731560,GBP,100,100,0,yes
859220,GBP,99,99,0,yes
879900,GBP,99,99,0,yes
541920,GBP,98,98,0,yes
784380,GBP,98,98,0,yes
702560,GBP,97,97,0,yes
740070,GBP,97,97,0,yes
771970,GBP,96,96,0,yes
683640,GBP,95,95,0,yes
437030,GBP,93,93,0,yes
875540,GBP,93,93,0,yes
769400,GBP,91,91,0,yes
845450,GBP,88,88,0,yes
564780,GBP,87,87,0,yes
770040,GBP,84,84,0,yes
471560,GBP,83,83,0,yes
588410,GBP,82,82,0,yes
687490,GBP,81,81,0,yes
695920,GBP,81,81,0,yes
658290,GBP,80,80,0,yes
846930,GBP,80,80,0,yes
621510,GBP,79,79,0,yes
861850,GBP,79,79,0,yes
884130,GBP,78,78,0,yes
791960,GBP,76,76,0,yes
553140,GBP,74,74,0,yes
875290,GBP,73,73,0,yes
753240,GBP,72,72,0,yes
851310,GBP,72,72,0,yes
872790,GBP,72,72,0,yes
586570,GBP,71,71,0,yes
805090,GBP,71,71,0,yes
730660,GBP,70,70,0,yes
858680,GBP,70,70,0,yes
682200,GBP,67,67,0,yes
702750,GBP,66,66,0,yes
861370,GBP,66,66,0,yes
867450,GBP,66,66,0,yes
623330,GBP,65,65,0,yes
652130,GBP,64,64,0,yes
699920,GBP,64,64,0,yes
870200,GBP,64,64,0,yes
679530,GBP,63,63,0,yes
860950,GBP,63,63,0,yes
854650,GBP,62,62,0,yes
643980,GBP,61,61,0,yes
651750,GBP,61,61,0,yes
679880,GBP,61,61,0,yes
755510,GBP,61,61,0,yes
868040,GBP,61,61,0,yes
868180,GBP,61,61,0,yes
874570,GBP,61,61,0,yes
878820,GBP,61,61,0,yes
526500,GBP,60,60,0,yes
786840,GBP,60,60,0,yes
858530,GBP,58,58,0,yes
880720,GBP,56,56,0,yes
860000,GBP,55,55,0,yes
757340,GBP,54,54,0,yes
853800,GBP,53,53,0,yes
798080,GBP,52,52,0,yes
801970,GBP,51,51,0,yes
702970,GBP,50,50,0,yes
858600,GBP,50,50,0,yes
521090,GBP,49,49,0,yes
875760,GBP,49,49,0,yes
876820,GBP,49,49,0,yes
885610,GBP,49,49,0,yes
501410,GBP,48,48,0,yes
765710,GBP,48,48,0,yes
873720,GBP,48,48,0,yes
741730,GBP,47,47,0,yes
572490,GBP,46,46,0,yes
787120,GBP,46,46,0,yes
488860,GBP,45,45,0,yes
569430,GBP,45,45,0,yes
597660,GBP,45,45,0,yes
718810,GBP,45,45,0,yes
771230,GBP,45,45,0,yes
715680,GBP,44,44,0,yes
762650,GBP,44,44,0,yes
859550,GBP,44,44,0,yes
862210,GBP,44,44,0,yes
857800,GBP,43,43,0,yes
714720,GBP,42,42,0,yes
876160,GBP,42,42,0,yes
295350,GBP,41,41,0,yes
587380,GBP,41,41,0,yes
726830,GBP,41,41,0,yes
797510,GBP,41,41,0,yes
851300,GBP,41,41,0,yes
754900,GBP,40,40,0,yes
847380,GBP,40,40,0,yes
877020,GBP,38,38,0,yes
353070,GBP,37,37,0,yes
667530,GBP,37,37,0,yes
601170,GBP,36,36,0,yes
605610,GBP,36,36,0,yes
697870,GBP,36,36,0,yes
704820,GBP,36,36,0,yes
533080,GBP,35,35,0,yes
722500,GBP,35,35,0,yes
730220,GBP,35,35,0,yes
854250,GBP,35,35,0,yes
877980,GBP,35,35,0,yes
527340,GBP,34,34,0,yes
783880,GBP,34,34,0,yes
865130,GBP,34,34,0,yes
607420,GBP,33,33,0,yes
762840,GBP,33,33,0,yes
783840,GBP,33,33,0,yes
873290,GBP,33,33,0,yes
385890,GBP,32,32,0,yes
743960,GBP,32,32,0,yes
804060,GBP,32,32,0,yes
862560,GBP,32,32,0,yes
322990,GBP,31,31,0,yes
617630,GBP,31,31,0,yes
674350,GBP,31,31,0,yes
698950,GBP,31,31,0,yes
877010,GBP,31,31,0,yes
885100,GBP,31,31,0,yes
589680,GBP,30,30,0,yes
658920,GBP,29,29,0,yes
793500,GBP,29,29,0,yes
850960,GBP,29,29,0,yes
874310,GBP,29,29,0,yes
881060,GBP,29,29,0,yes
634150,GBP,28,28,0,yes
687940,GBP,28,28,0,yes
860080,GBP,28,28,0,yes
886350,GBP,28,28,0,yes
630990,GBP,27,27,0,yes
636930,GBP,27,27,0,yes
717690,GBP,27,27,0,yes
774090,GBP,27,27,0,yes
801410,GBP,27,27,0,yes
877840,GBP,27,27,0,yes
736810,GBP,26,26,0,yes
852490,GBP,26,26,0,yes
784230,GBP,25,25,0,yes
676720,GBP,24,24,0,yes
865720,GBP,24,24,0,yes
624230,GBP,23,23,0,yes
791720,GBP,22,22,0,yes
888580,GBP,22,22,0,yes
754600,GBP,21,21,0,yes
603030,GBP,20,20,0,yes
698030,GBP,20,20,0,yes
691720,GBP,19,19,0,yes
865580,GBP,19,19,0,yes
870450,GBP,19,19,0,yes
871100,GBP,19,19,0,yes
881990,GBP,19,19,0,yes
522910,GBP,18,18,0,yes
574150,GBP,18,18,0,yes
601350,GBP,18,18,0,yes
723180,GBP,18,18,0,yes
879590,GBP,18,18,0,yes
756680,GBP,17,17,0,yes
850990,GBP,17,17,0,yes
872780,GBP,17,17,0,yes
874530,GBP,17,17,0,yes
680830,GBP,16,16,0,yes
759430,GBP,16,16,0,yes
795060,GBP,15,15,0,yes
858980,GBP,15,15,0,yes
621700,GBP,14,14,0,yes
863450,GBP,14,14,0,yes
639020,GBP,13,13,0,yes
881320,GBP,13,13,0,yes
632840,GBP,12,12,0,yes
742420,GBP,12,12,0,yes
770390,GBP,12,12,0,yes
798170,GBP,12,12,0,yes
799850,GBP,11,11,0,yes
860310,GBP,11,11,0,yes
878650,GBP,11,11,0,yes
317130,GBP,10,10,0,yes
666610,GBP,10,10,0,yes
693530,GBP,10,10,0,yes
738380,GBP,10,10,0,yes
797660,GBP,10,10,0,yes
799700,GBP,10,10,0,yes
684800,GBP,9,9,0,yes
787050,GBP,9,9,0,yes
804890,GBP,9,9,0,yes
854980,GBP,9,9,0,yes
462790,GBP,8,8,0,yes
709850,GBP,8,8,0,yes
741970,GBP,8,8,0,yes
770580,GBP,8,8,0,yes
805080,GBP,8,8,0,yes
565490,GBP,7,7,0,yes
609190,GBP,7,7,0,yes
636970,GBP,7,7,0,yes
725790,GBP,7,7,0,yes
741290,GBP,7,7,0,yes
775970,GBP,7,7,0,yes
849270,GBP,7,7,0,yes
502670,GBP,6,6,0,yes
702730,GBP,6,6,0,yes
704260,GBP,6,6,0,yes
731640,GBP,6,6,0,yes
793380,GBP,6,6,0,yes
797000,GBP,6,6,0,yes
802230,GBP,6,6,0,yes
802920,GBP,6,6,0,yes
845120,GBP,6,6,0,yes
857220,GBP,6,6,0,yes
445170,GBP,5,5,0,yes
483800,GBP,5,5,0,yes
533000,GBP,5,5,0,yes
750370,GBP,5,5,0,yes
778620,GBP,5,5,0,yes
781780,GBP,5,5,0,yes
800740,GBP,5,5,0,yes
872030,GBP,5,5,0,yes
611080,GBP,4,4,0,yes
706320,GBP,4,4,0,yes
707600,GBP,4,4,0,yes
720660,GBP,4,4,0,yes
774060,GBP,4,4,0,yes
806240,GBP,4,4,0,yes
857670,GBP,4,4,0,yes
872440,GBP,4,4,0,yes
874300,GBP,4,4,0,yes
887120,GBP,4,4,0,yes
500110,GBP,3,3,0,yes
630410,GBP,3,3,0,yes
689800,GBP,3,3,0,yes
715200,GBP,3,3,0,yes
782920,GBP,3,3,0,yes
878500,GBP,3,3,0,yes
633840,GBP,2,2,0,yes
645470,GBP,2,2,0,yes
683990,GBP,2,2,0,yes
731740,GBP,2,2,0,yes
888750,GBP,2,2,0,yes
633330,GBP,1,1,0,yes
714010,GBP,1,1,0,yes
805770,GBP,1,1,0,yes
854910,GBP,1,1,0,yes
877920,GBP,1,1,0,yes
875061,GBP,147,147,0,yes
847861,GBP,146,146,0,yes
851161,GBP,145,145,0,yes
772311,GBP,144,144,0,yes
712151,GBP,143,143,0,yes
787241,GBP,142,142,0,yes
876421,GBP,142,142,0,yes
798021,GBP,140,140,0,yes
861091,GBP,139,139,0,yes
799611,GBP,137,137,0,yes
805281,GBP,134,134,0,yes
546361,GBP,132,132,0,yes
747081,GBP,132,132,0,yes
756091,GBP,132,132,0,yes
403821,GBP,131,131,0,yes
791821,GBP,129,129,0,yes
752651,GBP,128,128,0,yes
871161,GBP,128,128,0,yes
875351,GBP,126,126,0,yes
671681,GBP,122,122,0,yes
551111,GBP,121,121,0,yes
781951,GBP,121,121,0,yes
654271,GBP,120,120,0,yes
871171,GBP,120,120,0,yes
573391,GBP,119,119,0,yes
