user_id,status,date
6834670,PENDING_VERIFICATION,"2021-11-29 01:26:27"
6834670,BLOCKED,"2024-01-11 18:25:32"
6834670,ACTIVE,"2024-01-12 18:30:09"
6834670,BLOCKED,"2024-02-08 00:04:57"
6834670,ACTIVE,"2024-02-09 00:05:13"
6834670,BLOCKED,"2024-05-02 23:47:18"
6834670,ACTIVE,"2024-05-03 23:50:08"
6836730,PENDING_VERIFICATION,"2021-12-02 21:35:40"
6836730,BLOCKED,"2022-02-07 21:48:33"
6836730,PENDING_VERIFICATION,"2022-02-08 15:57:00"
6837930,PENDING_VERIFICATION,"2021-12-05 18:30:42"
6837930,BLOCKED,"2022-02-07 21:49:52"
6837930,PENDING_VERIFICATION,"2022-02-08 15:57:00"
6838160,PENDING_VERIFICATION,"2021-12-06 09:27:38"
6838160,BLOCKED,"2022-02-07 21:49:58"
6838160,PENDING_VERIFICATION,"2022-02-08 15:57:00"
6838560,PENDING_VERIFICATION,"2021-12-07 03:08:09"
6838560,BLOCKED,"2022-02-07 21:50:10"
6838560,PENDING_VERIFICATION,"2022-02-08 15:57:00"
6838560,ACTIVE,"2023-02-05 06:54:13"
6840140,PENDING_VERIFICATION,"2021-12-10 20:19:20"
6840140,BLOCKED,"2021-12-10 20:32:30"
6840140,SUPERBLOCKED,"2021-12-12 15:19:16"
6840820,PENDING_VERIFICATION,"2021-12-12 02:06:04"
6840820,BLOCKED,"2022-02-07 21:51:20"
6840820,PENDING_VERIFICATION,"2022-02-08 15:57:01"
6841260,PENDING_VERIFICATION,"2021-12-12 23:14:06"
6841260,ACTIVE,"2021-12-13 13:25:34"
6841260,BLOCKED,"2021-12-16 13:10:36"
6841260,SELF_EXCLUDED,"2021-12-16 13:10:36"
6842560,PENDING_VERIFICATION,"2021-12-15 13:46:11"
6842560,BLOCKED,"2022-02-07 21:52:14"
6842560,PENDING_VERIFICATION,"2022-02-08 15:57:01"
6842600,PENDING_VERIFICATION,"2021-12-15 14:47:33"
6842600,BLOCKED,"2021-12-15 14:58:36"
6842600,ACTIVE,"2021-12-15 15:00:18"
6842600,BLOCKED,"2022-02-07 21:52:16"
6842600,ACTIVE,"2022-02-08 15:57:01"
6842600,PENDING_VERIFICATION,"2022-02-08 15:57:02"
6842600,ACTIVE,"2022-08-25 14:34:55"
6842600,BLOCKED,"2024-04-10 15:40:49"
6842600,SELF_LOCKED,"2024-04-10 15:40:49"
6842600,ACTIVE,"2024-05-10 15:45:09"
6842600,BLOCKED,"2024-05-20 16:31:56"
6842600,SELF_LOCKED,"2024-05-20 16:31:56"
6842700,PENDING_VERIFICATION,"2021-12-15 19:01:00"
6842700,ACTIVE,"2021-12-15 20:37:33"
6842700,BLOCKED,"2021-12-25 00:11:07"
6842700,SELF_EXCLUDED,"2021-12-25 00:11:07"
6843000,PENDING_VERIFICATION,"2021-12-16 11:45:15"
6843000,BLOCKED,"2022-02-07 21:52:32"
6843000,PENDING_VERIFICATION,"2022-02-08 15:57:01"
6843170,PENDING_VERIFICATION,"2021-12-16 17:42:36"
6843170,ACTIVE,"2021-12-17 15:05:36"
6843170,BLOCKED,"2021-12-17 15:49:44"
6843170,SELF_EXCLUDED,"2021-12-17 15:49:44"
6843750,PENDING_VERIFICATION,"2021-12-17 19:01:06"
6843750,BLOCKED,"2022-02-07 21:52:49"
